Time(ps),Counts
-20000,10
-19950,8
-19900,8
-19850,6
-19800,7
-19750,3
-19700,4
-19650,1
-19600,2
-19550,2
-19500,1
-19450,4
-19400,4
-19350,3
-19300,2
-19250,7
-19200,2
-19150,3
-19100,3
-19050,6
-19000,1
-18950,3
-18900,5
-18850,3
-18800,1
-18750,3
-18700,1
-18650,4
-18600,3
-18550,2
-18500,2
-18450,5
-18400,2
-18350,8
-18300,3
-18250,3
-18200,2
-18150,5
-18100,3
-18050,3
-18000,5
-17950,13
-17900,9
-17850,15
-17800,9
-17750,10
-17700,5
-17650,3
-17600,5
-17550,4
-17500,6
-17450,3
-17400,4
-17350,5
-17300,1
-17250,4
-17200,5
-17150,12
-17100,16
-17050,26
-17000,5
-16950,11
-16900,8
-16850,6
-16800,4
-16750,2
-16700,3
-16650,2
-16600,5
-16550,5
-16500,4
-16450,7
-16400,7
-16350,4
-16300,2
-16250,2
-16200,3
-16150,7
-16100,4
-16050,3
-16000,2
-15950,2
-15900,2
-15850,3
-15800,1
-15750,3
-15700,4
-15650,7
-15600,3
-15550,1
-15500,2
-15450,0
-15400,6
-15350,4
-15300,1
-15250,1
-15200,2
-15150,3
-15100,3
-15050,6
-15000,4
-14950,3
-14900,6
-14850,1
-14800,5
-14750,6
-14700,6
-14650,11
-14600,11
-14550,11
-14500,5
-14450,16
-14400,19
-14350,40
-14300,80
-14250,175
-14200,309
-14150,332
-14100,233
-14050,148
-14000,89
-13950,63
-13900,30
-13850,31
-13800,19
-13750,32
-13700,32
-13650,27
-13600,31
-13550,29
-13500,44
-13450,49
-13400,48
-13350,41
-13300,67
-13250,82
-13200,72
-13150,109
-13100,105
-13050,142
-13000,217
-12950,304
-12900,633
-12850,1310
-12800,3143
-12750,7191
-12700,16356
-12650,26351
-12600,22433
-12550,11402
-12500,4701
-12450,2025
-12400,912
-12350,430
-12300,281
-12250,183
-12200,138
-12150,96
-12100,93
-12050,69
-12000,72
-11950,55
-11900,61
-11850,42
-11800,37
-11750,37
-11700,31
-11650,39
-11600,26
-11550,23
-11500,23
-11450,21
-11400,23
-11350,49
-11300,71
-11250,119
-11200,169
-11150,303
-11100,334
-11050,241
-11000,125
-10950,41
-10900,25
-10850,20
-10800,8
-10750,5
-10700,7
-10650,6
-10600,10
-10550,6
-10500,6
-10450,4
-10400,4
-10350,2
-10300,5
-10250,2
-10200,4
-10150,5
-10100,2
-10050,5
-10000,0
-9950,6
-9900,1
-9850,3
-9800,3
-9750,7
-9700,9
-9650,7
-9600,4
-9550,5
-9500,5
-9450,6
-9400,0
-9350,2
-9300,1
-9250,0
-9200,4
-9150,1
-9100,4
-9050,2
-9000,7
-8950,2
-8900,5
-8850,4
-8800,2
-8750,4
-8700,6
-8650,1
-8600,4
-8550,5
-8500,8
-8450,5
-8400,7
-8350,8
-8300,11
-8250,18
-8200,20
-8150,13
-8100,7
-8050,3
-8000,5
-7950,2
-7900,4
-7850,3
-7800,1
-7750,0
-7700,4
-7650,4
-7600,4
-7550,10
-7500,12
-7450,11
-7400,13
-7350,17
-7300,12
-7250,7
-7200,4
-7150,6
-7100,2
-7050,2
-7000,1
-6950,9
-6900,1
-6850,2
-6800,3
-6750,3
-6700,4
-6650,5
-6600,4
-6550,6
-6500,6
-6450,3
-6400,1
-6350,2
-6300,5
-6250,2
-6200,6
-6150,4
-6100,3
-6050,4
-6000,2
-5950,3
-5900,4
-5850,3
-5800,1
-5750,4
-5700,3
-5650,9
-5600,4
-5550,5
-5500,3
-5450,3
-5400,5
-5350,10
-5300,15
-5250,10
-5200,12
-5150,6
-5100,6
-5050,3
-5000,6
-4950,4
-4900,4
-4850,3
-4800,6
-4750,3
-4700,6
-4650,6
-4600,3
-4550,6
-4500,11
-4450,24
-4400,15
-4350,18
-4300,5
-4250,3
-4200,4
-4150,3
-4100,2
-4050,3
-4000,1
-3950,4
-3900,2
-3850,6
-3800,3
-3750,4
-3700,4
-3650,4
-3600,2
-3550,6
-3500,3
-3450,6
-3400,3
-3350,4
-3300,5
-3250,6
-3200,3
-3150,4
