Time(ps),Counts
-20000,94
-19950,60
-19900,53
-19850,42
-19800,45
-19750,42
-19700,45
-19650,58
-19600,93
-19550,114
-19500,133
-19450,120
-19400,87
-19350,88
-19300,60
-19250,43
-19200,34
-19150,29
-19100,41
-19050,35
-19000,47
-18950,38
-18900,34
-18850,42
-18800,28
-18750,29
-18700,36
-18650,41
-18600,62
-18550,66
-18500,76
-18450,104
-18400,102
-18350,100
-18300,76
-18250,53
-18200,39
-18150,42
-18100,37
-18050,36
-18000,66
-17950,76
-17900,89
-17850,76
-17800,95
-17750,60
-17700,44
-17650,43
-17600,34
-17550,21
-17500,37
-17450,28
-17400,34
-17350,33
-17300,22
-17250,31
-17200,49
-17150,69
-17100,125
-17050,165
-17000,79
-16950,68
-16900,39
-16850,35
-16800,44
-16750,35
-16700,25
-16650,25
-16600,34
-16550,38
-16500,30
-16450,32
-16400,26
-16350,41
-16300,31
-16250,27
-16200,32
-16150,26
-16100,21
-16050,24
-16000,34
-15950,26
-15900,31
-15850,36
-15800,22
-15750,35
-15700,50
-15650,28
-15600,49
-15550,42
-15500,50
-15450,39
-15400,25
-15350,47
-15300,37
-15250,33
-15200,43
-15150,33
-15100,45
-15050,33
-15000,49
-14950,39
-14900,50
-14850,33
-14800,58
-14750,49
-14700,62
-14650,52
-14600,57
-14550,82
-14500,81
-14450,116
-14400,170
-14350,310
-14300,572
-14250,1355
-14200,2686
-14150,2922
-14100,1708
-14050,1373
-14000,944
-13950,562
-13900,318
-13850,233
-13800,194
-13750,201
-13700,255
-13650,277
-13600,310
-13550,293
-13500,350
-13450,366
-13400,451
-13350,472
-13300,541
-13250,628
-13200,731
-13150,899
-13100,1088
-13050,1309
-13000,1700
-12950,2483
-12900,4252
-12850,8110
-12800,17884
-12750,43076
-12700,102407
-12650,185784
-12600,156041
-12550,71889
-12500,29625
-12450,12352
-12400,5886
-12350,3381
-12300,2013
-12250,1497
-12200,1234
-12150,980
-12100,733
-12050,704
-12000,565
-11950,525
-11900,440
-11850,409
-11800,402
-11750,345
-11700,308
-11650,293
-11600,218
-11550,193
-11500,199
-11450,201
-11400,273
-11350,417
-11300,699
-11250,1194
-11200,1433
-11150,2411
-11100,3133
-11050,2025
-11000,925
-10950,478
-10900,224
-10850,134
-10800,111
-10750,73
-10700,71
-10650,53
-10600,57
-10550,60
-10500,47
-10450,41
-10400,60
-10350,34
-10300,30
-10250,36
-10200,37
-10150,28
-10100,40
-10050,45
-10000,36
-9950,32
-9900,37
-9850,37
-9800,40
-9750,53
-9700,62
-9650,34
-9600,44
-9550,51
-9500,38
-9450,28
-9400,35
-9350,29
-9300,42
-9250,30
-9200,30
-9150,31
-9100,24
-9050,30
-9000,38
-8950,28
-8900,29
-8850,28
-8800,31
-8750,27
-8700,35
-8650,22
-8600,28
-8550,28
-8500,35
-8450,28
-8400,51
-8350,54
-8300,61
-8250,114
-8200,165
-8150,104
-8100,62
-8050,39
-8000,29
-7950,29
-7900,32
-7850,23
-7800,30
-7750,32
-7700,39
-7650,35
-7600,49
-7550,61
-7500,69
-7450,77
-7400,80
-7350,75
-7300,75
-7250,54
-7200,34
-7150,33
-7100,31
-7050,58
-7000,62
-6950,91
-6900,111
-6850,138
-6800,107
-6750,108
-6700,71
-6650,57
-6600,43
-6550,36
-6500,36
-6450,46
-6400,36
-6350,19
-6300,42
-6250,32
-6200,39
-6150,41
-6100,31
-6050,48
-6000,51
-5950,67
-5900,76
-5850,87
-5800,123
-5750,125
-5700,96
-5650,66
-5600,57
-5550,50
-5500,44
-5450,39
-5400,50
-5350,66
-5300,81
-5250,94
-5200,88
-5150,75
-5100,58
-5050,52
-5000,43
-4950,46
-4900,37
-4850,38
-4800,24
-4750,32
-4700,25
-4650,37
-4600,41
-4550,47
-4500,83
-4450,135
-4400,131
-4350,78
-4300,63
-4250,37
-4200,39
-4150,41
-4100,24
-4050,29
-4000,36
-3950,31
-3900,30
-3850,31
-3800,18
-3750,31
-3700,32
-3650,31
-3600,39
-3550,38
-3500,33
-3450,32
-3400,33
-3350,26
-3300,17
-3250,32
-3200,37
-3150,34
-3100,46
-3050,56
-3000,46
-2950,43
-2900,50
-2850,42
-2800,49
-2750,41
-2700,41
-2650,41
-2600,21
-2550,29
-2500,47
-2450,41
-2400,28
-2350,39
-2300,31
-2250,55
-2200,45
-2150,39
-2100,55
-2050,54
-2000,69
-1950,66
-1900,73
-1850,85
-1800,121
-1750,164
-1700,322
-1650,683
-1600,1465
-1550,2714
-1500,2629
-1450,1612
-1400,1216
-1350,886
-1300,457
-1250,193
-1200,138
-1150,123
-1100,118
-1050,139
-1000,167
-950,190
-900,159
-850,179
-800,180
-750,213
-700,220
-650,291
-600,302
-550,379
-500,415
-450,460
-400,536
-350,566
-300,760
-250,998
-200,1348
-150,1934
-100,3273
-50,4895
0,3745
50,3867
100,2669
150,1738
200,1235
250,972
300,810
350,634
400,507
450,484
500,405
550,327
600,310
650,267
700,227
750,229
800,204
850,186
900,193
950,174
1000,187
1050,154
1100,126
1150,126
1200,146
1250,231
1300,407
1350,753
1400,1236
1450,1467
1500,2548
1550,2885
1600,1546
1650,693
1700,295
1750,146
1800,94
1850,69
1900,50
1950,45
2000,48
2050,48
2100,46
2150,35
2200,41
2250,45
2300,43
2350,27
2400,40
2450,32
2500,32
2550,43
2600,30
2650,30
2700,38
2750,42
2800,48
2850,50
2900,73
2950,58
3000,51
3050,42
3100,50
3150,32
3200,36
3250,30
3300,34
3350,29
3400,40
3450,27
3500,32
3550,21
3600,34
3650,42
3700,32
3750,35
3800,34
3850,31
3900,35
3950,29
4000,25
4050,26
4100,21
4150,22
4200,34
4250,40
4300,50
4350,90
4400,132
4450,133
4500,88
4550,63
4600,42
4650,49
4700,23
4750,23
4800,36
4850,29
4900,34
4950,28
5000,39
5050,47
5100,59
5150,72
5200,84
5250,90
5300,86
5350,71
5400,49
5450,43
5500,42
5550,48
5600,57
5650,87
5700,103
5750,121
5800,112
5850,108
5900,82
5950,65
6000,48
6050,34
6100,37
6150,42
6200,26
6250,39
6300,23
6350,32
6400,36
6450,37
6500,25
6550,36
6600,40
6650,53
6700,73
6750,99
6800,112
6850,118
6900,103
6950,85
7000,62
7050,54
7100,52
7150,46
7200,43
7250,60
7300,73
7350,87
7400,113
7450,73
7500,73
7550,65
7600,41
7650,35
7700,36
7750,26
7800,38
7850,31
7900,30
7950,25
8000,32
8050,32
8100,50
8150,90
8200,162
8250,128
8300,83
8350,35
8400,35
8450,41
8500,31
8550,32
8600,21
8650,25
8700,33
8750,34
8800,32
8850,25
8900,33
8950,26
9000,39
9050,30
9100,26
9150,30
9200,21
9250,35
9300,24
9350,38
9400,28
9450,36
9500,32
9550,49
9600,46
9650,39
9700,48
9750,44
9800,44
9850,40
9900,26
9950,47
10000,35
10050,31
